"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006119","oxidative phosphorylation","19/118","149/18986",0.12751677852349,20.5172335342964,18.9142399656272,6.57689317704799e-20,1.06151055877555e-16,9.95533935641581e-17,"UQCRH/COX5B/NDUFB5/NDUFB4/ATP5ME/COX7C/NDUFA2/COX7A2/COX7B/NDUFA1/COX6C/COX8A/ATP5MG/COX6A1/NDUFA13/NDUFB7/COX6B1/UQCR10/ATP5PO",19
"GO:0019646","aerobic electron transport chain","15/118","93/18986",0.161290322580645,25.9513395297977,19.0751625971098,1.66142981310255e-17,1.00969815041181e-14,9.46941851100362e-15,"UQCRH/COX5B/NDUFB5/NDUFB4/COX7C/NDUFA2/COX7A2/COX7B/NDUFA1/COX6C/COX8A/COX6A1/NDUFB7/COX6B1/UQCR10",15
"GO:0009060","aerobic respiration","19/118","200/18986",0.095,15.2853389830508,16.060969591432,1.87676236136025e-17,1.00969815041181e-14,9.46941851100362e-15,"UQCRH/COX5B/NDUFB5/NDUFB4/ATP5ME/COX7C/NDUFA2/COX7A2/COX7B/NDUFA1/COX6C/COX8A/ATP5MG/COX6A1/NDUFA13/NDUFB7/COX6B1/UQCR10/ATP5PO",19
"GO:0042773","ATP synthesis coupled electron transport","15/118","101/18986",0.148514851485149,23.8957878838731,18.2448860742451,6.07430525299976e-17,1.84666950474445e-14,1.73189248537306e-14,"UQCRH/COX5B/NDUFB5/NDUFB4/COX7C/NDUFA2/COX7A2/COX7B/NDUFA1/COX6C/COX8A/COX6A1/NDUFB7/COX6B1/UQCR10",15
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","15/118","101/18986",0.148514851485149,23.8957878838731,18.2448860742451,6.07430525299976e-17,1.84666950474445e-14,1.73189248537306e-14,"UQCRH/COX5B/NDUFB5/NDUFB4/COX7C/NDUFA2/COX7A2/COX7B/NDUFA1/COX6C/COX8A/COX6A1/NDUFB7/COX6B1/UQCR10",15
"GO:0045333","cellular respiration","20/118","249/18986",0.0803212851405622,12.923558641345,14.9774854963914,6.8649423968195e-17,1.84666950474445e-14,1.73189248537306e-14,"UQCRH/COX5B/CHCHD5/NDUFB5/NDUFB4/ATP5ME/COX7C/NDUFA2/COX7A2/COX7B/NDUFA1/COX6C/COX8A/ATP5MG/COX6A1/NDUFA13/NDUFB7/COX6B1/UQCR10/ATP5PO",20
"GO:0022904","respiratory electron transport chain","15/118","125/18986",0.12,19.3077966101695,16.2402271203199,1.63678492967457e-15,3.7739583949925e-13,3.53939357725117e-13,"UQCRH/COX5B/NDUFB5/NDUFB4/COX7C/NDUFA2/COX7A2/COX7B/NDUFA1/COX6C/COX8A/COX6A1/NDUFB7/COX6B1/UQCR10",15
"GO:0022900","electron transport chain","15/118","135/18986",0.111111111111111,17.8775894538606,15.563005704319,5.27633870325617e-15,9.83848918225866e-13,9.22699239815297e-13,"UQCRH/COX5B/NDUFB5/NDUFB4/COX7C/NDUFA2/COX7A2/COX7B/NDUFA1/COX6C/COX8A/COX6A1/NDUFB7/COX6B1/UQCR10",15
"GO:0015980","energy derivation by oxidation of organic compounds","21/118","356/18986",0.0589887640449438,9.49119215387545,12.7900019627804,5.4861463841591e-15,9.83848918225866e-13,9.22699239815297e-13,"UQCRH/COX5B/CHCHD5/NDUFB5/NDUFB4/ATP5ME/COX7C/NDUFA2/COX7A2/COX7B/NDUFA1/COX6C/COX8A/ATP5MG/COX6A1/PPP1CC/NDUFA13/NDUFB7/COX6B1/UQCR10/ATP5PO",21
"GO:1902600","proton transmembrane transport","16/118","195/18986",0.0820512820512821,13.2019122120817,13.5442083567069,7.67952760811855e-14,1.23947575595033e-11,1.162437968471e-11,"UQCRH/COX5B/NDUFB5/NDUFB4/ATP5ME/NDUFA2/COX7B/NDUFA1/TMSB4X/COX8A/ATP5MG/ATP5MC2/NDUFB7/COX6B1/UQCR10/ATP5PO",16
"GO:0006091","generation of precursor metabolites and energy","22/118","490/18986",0.0448979591836735,7.22400553441716,11.038561266151,3.04615601250319e-13,4.46954164016377e-11,4.1917438717508e-11,"UQCRH/COX5B/CHCHD5/NDUFB5/TKT/NDUFB4/ATP5ME/COX7C/NDUFA2/COX7A2/COX7B/NDUFA1/COX6C/COX8A/ATP5MG/COX6A1/PPP1CC/NDUFA13/NDUFB7/COX6B1/UQCR10/ATP5PO",22
"GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","8/118","24/18986",0.333333333333333,53.6327683615819,20.4034277200707,1.18467061981574e-12,1.59338198365217e-10,1.49434767657459e-10,"COX5B/COX7C/COX7A2/COX7B/COX6C/COX8A/COX6A1/COX6B1",8
"GO:0009206","purine ribonucleoside triphosphate biosynthetic process","12/118","111/18986",0.108108108108108,17.3944113605131,13.6992631404018,4.41672899616891e-12,5.48353892293586e-10,5.14271764898048e-10,"NDUFB5/NDUFB4/ATP5ME/NDUFA2/NDUFA1/TMSB4X/ATP5MG/ATP5MC2/NME2/NDUFA13/NDUFB7/ATP5PO",12
"GO:0009145","purine nucleoside triphosphate biosynthetic process","12/118","112/18986",0.107142857142857,17.2391041162228,13.630835380587,4.92118423605195e-12,5.67342239784847e-10,5.32079919657347e-10,"NDUFB5/NDUFB4/ATP5ME/NDUFA2/NDUFA1/TMSB4X/ATP5MG/ATP5MC2/NME2/NDUFA13/NDUFB7/ATP5PO",12
"GO:0009201","ribonucleoside triphosphate biosynthetic process","12/118","116/18986",0.103448275862069,16.6446522501461,13.3657190894777,7.50619225994705e-12,8.07666287170303e-10,7.57466980337113e-10,"NDUFB5/NDUFB4/ATP5ME/NDUFA2/NDUFA1/TMSB4X/ATP5MG/ATP5MC2/NME2/NDUFA13/NDUFB7/ATP5PO",12
"GO:0009142","nucleoside triphosphate biosynthetic process","12/118","124/18986",0.0967741935483871,15.5708037178786,12.8731209828239,1.66735966788117e-11,1.68194906497513e-09,1.57741000158759e-09,"NDUFB5/NDUFB4/ATP5ME/NDUFA2/NDUFA1/TMSB4X/ATP5MG/ATP5MC2/NME2/NDUFA13/NDUFB7/ATP5PO",12
"GO:0006754","ATP biosynthetic process","11/118","100/18986",0.11,17.698813559322,13.2403356181865,2.95951290019596e-11,2.80979636524487e-09,2.6351576163974e-09,"NDUFB5/NDUFB4/ATP5ME/NDUFA2/NDUFA1/TMSB4X/ATP5MG/ATP5MC2/NDUFA13/NDUFB7/ATP5PO",11
"GO:0002181","cytoplasmic translation","13/118","165/18986",0.0787878787878788,12.6768361581921,11.9132205472996,3.1657921432838e-11,2.83866028847781e-09,2.66222754505386e-09,"RPL22L1/RPL29/RPS12/PABPC1/RPL12/RPS6/RPLP2/RPS26/RPL41/RPLP1/RPL23A/RPL28/RPS28",13
"GO:0015986","proton motive force-driven ATP synthesis","10/118","77/18986",0.12987012987013,20.8958837772397,13.8343158752134,4.51339139706136e-11,3.83400721834581e-09,3.59571015455636e-09,"NDUFB5/NDUFB4/ATP5ME/NDUFA2/NDUFA1/ATP5MG/ATP5MC2/NDUFA13/NDUFB7/ATP5PO",10
"GO:0097250","mitochondrial respirasome assembly","11/118","114/18986",0.0964912280701754,15.5252750520369,12.3013053041056,1.25039297000705e-10,1.00906712679569e-08,9.46350047826389e-09,"NDUFB5/NDUFB4/SMIM20/NDUFA2/COX7A2/NDUFA1/COX14/COX16/PET117/NDUFA13/NDUFB7",11
"GO:0006163","purine nucleotide metabolic process","18/118","440/18986",0.0409090909090909,6.58220338983051,9.36893524499092,2.45821690501611e-10,1.82879601156999e-08,1.71512989280483e-08,"NDUFB5/TKT/NDUFB4/ATP5ME/HINT1/NDUFA2/HSPA1B/NDUFA1/TMSB4X/HSPA8/ATP5MG/ATP5MC2/NME2/AFMID/DCXR/NDUFA13/NDUFB7/ATP5PO",18
"GO:0009152","purine ribonucleotide biosynthetic process","12/118","156/18986",0.0769230769230769,12.3767926988266,11.2834096178271,2.49278266756752e-10,1.82879601156999e-08,1.71512989280483e-08,"NDUFB5/NDUFB4/ATP5ME/NDUFA2/NDUFA1/TMSB4X/ATP5MG/ATP5MC2/NME2/NDUFA13/NDUFB7/ATP5PO",12
"GO:0006164","purine nucleotide biosynthetic process","13/118","197/18986",0.065989847715736,10.6176546502624,10.730842703962,2.9132608148867e-10,2.04434911096832e-08,1.91728560723436e-08,"NDUFB5/NDUFB4/ATP5ME/NDUFA2/NDUFA1/TMSB4X/ATP5MG/ATP5MC2/NME2/AFMID/NDUFA13/NDUFB7/ATP5PO",13
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","9/118","68/18986",0.132352941176471,21.2953639082752,13.2585814000262,3.68090273025867e-10,2.47540708609896e-08,2.32155180969823e-08,"NDUFB5/NDUFB4/ATP5ME/NDUFA2/NDUFA1/ATP5MG/NDUFA13/NDUFB7/ATP5PO",9
"GO:0009205","purine ribonucleoside triphosphate metabolic process","14/118","252/18986",0.0555555555555556,8.93879472693032,10.0328184987743,5.61819881680546e-10,3.62710915612961e-08,3.40167153623842e-08,"NDUFB5/NDUFB4/ATP5ME/NDUFA2/HSPA1B/NDUFA1/TMSB4X/HSPA8/ATP5MG/ATP5MC2/NME2/NDUFA13/NDUFB7/ATP5PO",14
"GO:0009260","ribonucleotide biosynthetic process","12/118","171/18986",0.0701754385964912,11.2911091287541,10.6903395107325,7.21599679056085e-10,4.4794687769097e-08,4.20105400195405e-08,"NDUFB5/NDUFB4/ATP5ME/NDUFA2/NDUFA1/TMSB4X/ATP5MG/ATP5MC2/NME2/NDUFA13/NDUFB7/ATP5PO",12
"GO:0009199","ribonucleoside triphosphate metabolic process","14/118","258/18986",0.0542635658914729,8.7309157797924,9.88731715801988,7.63838318923824e-10,4.56605572867797e-08,4.28225926944428e-08,"NDUFB5/NDUFB4/ATP5ME/NDUFA2/HSPA1B/NDUFA1/TMSB4X/HSPA8/ATP5MG/ATP5MC2/NME2/NDUFA13/NDUFB7/ATP5PO",14
"GO:0009144","purine nucleoside triphosphate metabolic process","14/118","259/18986",0.0540540540540541,8.69720568025653,9.86352703055866,8.03330165595522e-10,4.63062459739704e-08,4.34281495536226e-08,"NDUFB5/NDUFB4/ATP5ME/NDUFA2/HSPA1B/NDUFA1/TMSB4X/HSPA8/ATP5MG/ATP5MC2/NME2/NDUFA13/NDUFB7/ATP5PO",14
"GO:0033108","mitochondrial respiratory chain complex assembly","10/118","103/18986",0.0970873786407767,15.6211946684219,11.7665554506135,8.48125104607422e-10,4.72025489253924e-08,4.42687441170771e-08,"NDUFB5/NDUFB4/SMIM20/NDUFA2/NDUFA1/COX14/COX16/PET117/NDUFA13/NDUFB7",10
"GO:0046390","ribose phosphate biosynthetic process","12/118","178/18986",0.0674157303370786,10.8470767472862,10.4382906751075,1.14425021862489e-09,6.15606617620191e-08,5.77344496274594e-08,"NDUFB5/NDUFB4/ATP5ME/NDUFA2/NDUFA1/TMSB4X/ATP5MG/ATP5MC2/NME2/NDUFA13/NDUFB7/ATP5PO",12
"GO:0009141","nucleoside triphosphate metabolic process","14/118","274/18986",0.0510948905109489,8.22108128170234,9.52139935550769,1.66813259851735e-09,8.6850516580871e-08,8.14524508206434e-08,"NDUFB5/NDUFB4/ATP5ME/NDUFA2/HSPA1B/NDUFA1/TMSB4X/HSPA8/ATP5MG/ATP5MC2/NME2/NDUFA13/NDUFB7/ATP5PO",14
"GO:0046034","ATP metabolic process","13/118","228/18986",0.0570175438596491,9.1740261671127,9.81959445552051,1.75454794994256e-09,8.84950122252276e-08,8.29947352637301e-08,"NDUFB5/NDUFB4/ATP5ME/NDUFA2/HSPA1B/NDUFA1/TMSB4X/HSPA8/ATP5MG/ATP5MC2/NDUFA13/NDUFB7/ATP5PO",13
"GO:0009117","nucleotide metabolic process","18/118","500/18986",0.036,5.79233898305085,8.58804731421358,1.88799011161752e-09,9.23398800045659e-08,8.66006309571289e-08,"NDUFB5/TKT/NDUFB4/ATP5ME/HINT1/NDUFA2/HSPA1B/NDUFA1/TMSB4X/HSPA8/ATP5MG/ATP5MC2/NME2/AFMID/DCXR/NDUFA13/NDUFB7/ATP5PO",18
"GO:0009165","nucleotide biosynthetic process","13/118","233/18986",0.055793991416309,8.97715865279697,9.68889353741503,2.28407298525315e-09,1.08426288182311e-07,1.01687212160806e-07,"NDUFB5/NDUFB4/ATP5ME/NDUFA2/NDUFA1/TMSB4X/ATP5MG/ATP5MC2/NME2/AFMID/NDUFA13/NDUFB7/ATP5PO",13
"GO:0009150","purine ribonucleotide metabolic process","15/118","348/18986",0.0431034482758621,6.93527177089421,8.83718503790175,4.30172939645157e-09,1.9837117845351e-07,1.86041710439018e-07,"NDUFB5/NDUFB4/ATP5ME/HINT1/NDUFA2/HSPA1B/NDUFA1/TMSB4X/HSPA8/ATP5MG/ATP5MC2/NME2/NDUFA13/NDUFB7/ATP5PO",15
"GO:0009259","ribonucleotide metabolic process","15/118","368/18986",0.0407608695652174,6.55835482682388,8.51504670078398,9.125405584653e-09,4.09122350378609e-07,3.83693954114942e-07,"NDUFB5/NDUFB4/ATP5ME/HINT1/NDUFA2/HSPA1B/NDUFA1/TMSB4X/HSPA8/ATP5MG/ATP5MC2/NME2/NDUFA13/NDUFB7/ATP5PO",15
"GO:0072522","purine-containing compound biosynthetic process","13/118","263/18986",0.0494296577946768,7.95314816008249,8.97955903020715,9.82258590679152e-09,4.28477125771933e-07,4.01845761990504e-07,"NDUFB5/NDUFB4/ATP5ME/NDUFA2/NDUFA1/TMSB4X/ATP5MG/ATP5MC2/NME2/AFMID/NDUFA13/NDUFB7/ATP5PO",13
"GO:0019693","ribose phosphate metabolic process","15/118","376/18986",0.0398936170212766,6.41881536242337,8.39283064677581,1.21662765911468e-08,5.16746589950288e-07,4.84628967813548e-07,"NDUFB5/NDUFB4/ATP5ME/HINT1/NDUFA2/HSPA1B/NDUFA1/TMSB4X/HSPA8/ATP5MG/ATP5MC2/NME2/NDUFA13/NDUFB7/ATP5PO",15
"GO:1901293","nucleoside phosphate biosynthetic process","13/118","321/18986",0.0404984423676012,6.5161307355193,7.88236316582054,1.02526507363708e-07,4.243020073975e-06,3.97930141940654e-06,"NDUFB5/NDUFB4/ATP5ME/NDUFA2/NDUFA1/TMSB4X/ATP5MG/ATP5MC2/NME2/AFMID/NDUFA13/NDUFB7/ATP5PO",13
"GO:0007005","mitochondrion organization","14/118","452/18986",0.0309734513274336,4.98357582120894,6.7786169988895,8.39897215916826e-07,3.38898526622439e-05,3.17834788549578e-05,"HSPD1/NDUFB5/NDUFB4/SMIM20/NDUFA2/COX7A2/NDUFA1/PIM2/TRIAP1/COX14/COX16/PET117/NDUFA13/NDUFB7",14
"GO:0010257","NADH dehydrogenase complex assembly","6/118","62/18986",0.0967741935483871,15.5708037178786,9.08774753645902,2.34709856665366e-06,9.01956449185476e-05,8.45896676402997e-05,"NDUFB5/NDUFB4/NDUFA2/NDUFA1/NDUFA13/NDUFB7",6
"GO:0032981","mitochondrial respiratory chain complex I assembly","6/118","62/18986",0.0967741935483871,15.5708037178786,9.08774753645902,2.34709856665366e-06,9.01956449185476e-05,8.45896676402997e-05,"NDUFB5/NDUFB4/NDUFA2/NDUFA1/NDUFA13/NDUFB7",6
"GO:0006458","'de novo' protein folding","5/118","49/18986",0.102040816326531,16.4181943964026,8.54593013613094,1.30521226748904e-05,0.000489909906913327,0.000459460279228699,"HSPD1/FKBP1B/HSPA1B/HSPA8/DNAJB1",5
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone","5/118","51/18986",0.0980392156862745,15.7743436357594,8.35495278469393,1.59202758213285e-05,0.000581506469387377,0.000545363792460085,"NDUFB5/NDUFB4/NDUFA2/NDUFA1/NDUFB7",5
"GO:0033617","mitochondrial cytochrome c oxidase assembly","4/118","25/18986",0.16,25.7437288135593,9.79011747459779,1.62130056520644e-05,0.000581506469387377,0.000545363792460085,"SMIM20/COX14/COX16/PET117",4
