baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000117707	71.7438215247646	2.73574357088676	0.612403135720821	4.46722658868605	7.92401871073573e-06	0.10565886548895
ENSG00000128655	18.2022333469562	7.33754988204342	1.88079304012147	3.90130637742552	9.56749701092522e-05	0.361032129492105
ENSG00000128610	143.96913754327	2.6746243993459	0.689388967968528	3.87970293059288	0.000104584116583534	0.361032129492105
ENSG00000006534	36.8968279781503	3.87020399907017	1.00377120801647	3.85566349000783	0.000115416164531366	0.361032129492105
ENSG00000134996	22.0190295310649	6.7560906774349	1.77025084674141	3.81645950904142	0.000135380279545562	0.361032129492105
ENSG00000198633	18.6208677455788	-7.43102659487941	1.99510922902733	-3.72462143263315	0.000195608538007793	0.434707374299319
ENSG00000138741	17.1964484952582	6.88190682633375	1.89293623027375	3.63557245947928	0.000277364015635262	0.481852195221333
ENSG00000131747	14545.9403417411	-0.50433923186856	0.140754449885204	-3.58311394261344	0.00033952241556149	0.481852195221333
ENSG00000147588	26.9789093528276	4.21625260635609	1.1789126993246	3.57639086318401	0.000348370657974861	0.481852195221333
ENSG00000120594	140.040774913325	-2.11274523469459	0.5923368171003	-3.56679708858421	0.000361371077862107	0.481852195221333
ENSG00000064651	376.288136305469	0.987983309849122	0.281243075808398	3.51291603183221	0.000443217521941089	0.537260221596589
ENSG00000168298	251.878967826773	-1.26431368134046	0.36327118230573	-3.48035776830877	0.000500744619982831	0.556410730237589
ENSG00000185761	13.265712507041	6.68600684327532	1.9756000529279	3.38429169070251	0.000713621460647589	0.689767924650059
ENSG00000175984	9.99235485527692	-7.01307322450631	2.08039367093337	-3.3710318015724	0.000748872124648559	0.689767924650059
ENSG00000149575	93.0706941846509	1.87783663361735	0.561813446618708	3.34245583639761	0.000830405682904164	0.689767924650059
ENSG00000120549	56.6317502187481	3.10870813477989	0.930770759507991	3.33992887402604	0.000837998490201895	0.689767924650059
ENSG00000143321	2882.91897622716	-0.522209166944896	0.157832503265458	-3.30862880674582	0.000937540473230849	0.689767924650059
ENSG00000187634	53.4298319186826	-2.30277579856831	0.696111368640709	-3.30805658736033	0.000939458248003565	0.689767924650059
ENSG00000013810	762.523593446679	-0.690170076196715	0.210866319084453	-3.27302188037103	0.00106404240307668	0.689767924650059
ENSG00000137561	14.9365986574391	-7.0306061220561	2.15104009606338	-3.26846818658695	0.00108131332877972	0.689767924650059
ENSG00000120685	231.747672838149	-1.18079139256419	0.362493142518811	-3.25741718687247	0.00112431058998754	0.689767924650059
ENSG00000101282	12.8808099293737	7.2036595943713	2.21380931568527	3.25396570668123	0.00113806017266396	0.689767924650059
ENSG00000184788	89.7884155927097	-1.80269182134922	0.557673053986472	-3.23252452034908	0.00122701604948442	0.711349217557619
ENSG00000130222	762.58405801341	0.684459342374459	0.213563940061473	3.2049387278463	0.00135091234964051	0.750544386254441
ENSG00000143816	30.0500435126791	3.94743201611579	1.24273549961968	3.17640561271795	0.00149112303864085	0.795305383889482
